,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-01-06 14:00:00+01:00,51.31,-9.451933,-3.6011314,-8.221146,-3.2852278,1.2151508,20.856567,10.114701,6.247234442334814
2021-01-06 15:00:00+01:00,54.9,-9.162561,-3.2335606,-8.0627775,-2.9380693,1.1390791,19.438461,9.716401,5.53789765458073
2021-01-06 16:00:00+01:00,58.4,-9.048158,-2.9544497,-7.9518156,-2.6622133,1.0624733,18.08316,9.518294,5.206022166412705
2021-01-06 17:00:00+01:00,59.93,-8.650953,-2.2948513,-7.6293697,-2.0726519,0.9887128,14.856766,8.950158,4.328333794839371
2021-01-06 18:00:00+01:00,55.67,-7.911268,-1.7996054,-7.033868,-1.6563807,0.92353565,12.815231,8.113368,3.2242755636485754
2021-01-06 19:00:00+01:00,50.25,-7.260027,-1.9975357,-6.5542727,-1.8433104,0.870024,15.383804,7.529817,2.5774004760729423
2021-01-06 20:00:00+01:00,39.84,-7.6547728,-2.550456,-6.9031563,-2.30931,0.83653116,18.427307,8.0684805,3.171055781344431
2021-01-06 21:00:00+01:00,39.93,-8.143187,-2.2868757,-7.2770815,-2.0541658,0.82066566,15.686508,8.458208,3.653118141382576
2021-01-06 22:00:00+01:00,38.7,-7.9699,-1.807765,-7.1595306,-1.6602373,0.8075068,12.779831,8.172351,3.295107872906214
2021-01-06 23:00:00+01:00,32.5,-6.1335306,-1.3956842,-5.552038,-1.264926,0.782489,12.819382,6.2903204,1.5026122393370374
2021-01-07 00:00:00+01:00,43.08,-6.249589,-1.0910311,-5.7040205,-0.99453026,0.7639917,9.90271,6.3441086,1.541489050651613
2021-01-07 01:00:00+01:00,40.9,-5.700535,-0.19847316,-5.2068834,-0.15966535,0.7350118,1.9940491,5.703989,1.120378242668492
2021-01-07 02:00:00+01:00,39.19,-4.9760437,0.11492175,-4.569605,0.12086016,0.69214886,358.67697,4.9773707,0.7444381013827353
2021-01-07 03:00:00+01:00,39.78,-4.8841286,-0.22862548,-4.5207195,-0.18543649,0.65111685,2.680069,4.8894763,0.7056927533997898
